lat,lon,name,address
25.085443,121.559897,文新藥局,臺北市內湖區文湖街７－５號１樓
25.079637,121.57742,匯安藥局,臺北市內湖區內湖路１段７０３之１號
25.069879,121.617002,富康東湖藥局,臺北市內湖區東湖路１１９巷４９弄１６號
25.081206,121.593226,思恩藥局,臺北市內湖區成功路４段６１巷２６號
25.081666,121.592084,早安元氣藥局,臺北市內湖區成功路４段５３號１樓
25.068664,121.587698,展恩藥局,臺北市內湖區民權東路６段１３６巷４號
25.084879,121.599638,壹零捌藥局,臺北市內湖區成功路４段３４４號
25.0681,121.617366,昇龍藥局,臺北市內湖區東湖路１５１號
25.083185,121.591667,桔子藥局,臺北市內湖區內湖路２段３３３號
25.085935,121.590203,晟安藥局,臺北市內湖區金龍路１３５號
25.071555,121.612039,宜昇優良藥局,臺北市內湖區康寧路３段１６５巷１０號
25.081803,121.589045,傑昇藥局,臺北市內湖區內湖路２段２２７號
25.054657,121.579693,新安健保藥局,臺北市內湖區新明路４０２號
25.081072,121.590993,大內湖藥局,臺北市內湖區成功路３段１６４號１樓
25.086408,121.5909,樂齡藥師藥局,臺北市內湖區內湖路３段１０３號
25.084566,121.596105,晶龍藥局,臺北市內湖區成功路４段２１８號
25.080289,121.591774,安安藥局,臺北市內湖區康寧路１段４號１樓
25.0822,121.569261,西湖藥局,臺北市內湖區內湖路１段３５５號
25.081434,121.590636,維安藥局,臺北市內湖區成功路３段１７４巷２３號
25.056608,121.605542,旭村藥局,臺北市南港區興華路１１２號
25.044334,121.583448,裕成藥局,臺北市南港區玉成街１６６巷１３號
25.054292,121.592216,新錦安藥局,臺北市南港區南港路３段３４號
25.045108,121.584086,仁泰藥局,臺北市南港區同德路２８號
25.054251,121.605398,加欣藥局,臺北市南港區南港路２段２６號
25.043288,121.583168,祥安藥局,臺北市南港區中坡南路２５號
25.054014,121.61657,健園藥局,臺北市南港區研究院路１段１９號１樓
25.051809,121.616512,富康活力藥局,臺北市南港區研究院路１段１０１巷８號
25.055447,121.606059,亞博藥師藥局,臺北市南港區興華路８１號
25.045397,121.6152,佳龍藥局,臺北市南港區研究院路２段８０號
25.045698,121.58529,儀安健保藥局,臺北市南港區同德路７４號
25.055359,121.611883,南港藥局,臺北市南港區南港路一段１６６號
25.037849,121.616894,順翔藥局,臺北市南港區研究院路２段１７０號
25.054342,121.592399,景星藥局,臺北市南港區南港路３段２６號
25.044727,121.586734,成恩藥局,臺北市南港區成福路２３號
25.039483,121.587984,小藥師健保藥局,臺北市南港區福德街３２０之１號
25.046922,121.581777,心亮藥局,臺北市南港區玉成街６６之７號
25.039491,121.621117,勝安藥局,臺北市南港區舊莊街１段１６５號
25.097156,121.523331,南風藥局,臺北市士林區美崙街１９號１樓
25.0971449,121.5234101,菁安藥局,臺北市士林區美侖街１３號１樓
25.103977,121.520621,新興藥局,臺北市士林區德行西路１１７號
25.089956,121.516172,坤成泰藥局,臺北市士林區大南路４１２號
25.117637,121.532249,杏城藥局,臺北市士林區天母東路２４號
25.095622,121.521553,佳赫藥局,臺北市士林區文昌路６２號
