name,latitude,longitude
能量旅店,25.04357,121.504547
能量旅店,25.04357,121.504547
采舍精品旅館,25.06479336893596,121.52677059173584
頭等艙飯店 台北西門,25.04136244226,121.508434142565
福爾摩莎101青年旅館,25.02873423486801,121.55709061771633
福爾摩莎101青年旅館,25.02873423486801,121.55709061771633
福爾摩莎101青年旅館,25.02873423486801,121.55709061771633
函舍旅館,25.04290293605174,121.50526195764542
函舍旅館,25.04290293605174,121.50526195764542
函舍旅館,25.04290293605174,121.50526195764542
函舍旅館,25.04290293605174,121.50526195764542
小王子甜蜜旅店,25.044045361482087,121.5072437748313
小王子甜蜜旅店,25.044045361482087,121.5072437748313
小王子甜蜜旅店,25.044045361482087,121.5072437748313
小王子甜蜜旅店,25.044045361482087,121.5072437748313
小王子甜蜜旅店,25.044045361482087,121.5072437748313
小王子甜蜜旅店,25.044045361482087,121.5072437748313
趣西門旅店,25.04470377889577,121.50615187235262
趣西門旅店,25.04470377889577,121.50615187235262
趣西門旅店,25.04470377889577,121.50615187235262
趣西門旅店,25.04470377889577,121.50615187235262
美亞商旅,25.046222,121.51583
美亞商旅,25.046222,121.51583
台北俞美精品飯店,25.04505473303145,121.505094319582
台北俞美精品飯店,25.04505473303145,121.505094319582
台北俞美精品飯店,25.04505473303145,121.505094319582
台北俞美精品飯店,25.04505473303145,121.505094319582
台北俞美精品飯店,25.04505473303145,121.505094319582
雀客旅館台北內湖,25.07048827399045,121.59281730651855
雀客旅館台北內湖,25.07048827399045,121.59281730651855
雀客旅館台北內湖,25.07048827399045,121.59281730651855
雀客旅館台北內湖,25.07048827399045,121.59281730651855
雀客旅館台北內湖,25.07048827399045,121.59281730651855
雀客旅館台北內湖,25.07048827399045,121.59281730651855
東皇渡假旅店,25.13605971058014,121.51070442789204
東皇渡假旅店,25.13605971058014,121.51070442789204
東皇渡假旅店,25.13605971058014,121.51070442789204
東皇渡假旅店,25.13605971058014,121.51070442789204
東皇渡假旅店,25.13605971058014,121.51070442789204
東皇渡假旅店,25.13605971058014,121.51070442789204
東皇渡假旅店,25.13605971058014,121.51070442789204
甄美精品旅店,25.05433167543693,121.52626046910882
甄美精品旅店,25.05433167543693,121.52626046910882
甄美精品旅店,25.05433167543693,121.52626046910882
甄美精品旅店,25.05433167543693,121.52626046910882
甄美精品旅店,25.05433167543693,121.52626046910882
甄美精品旅店,25.05433167543693,121.52626046910882
甄美精品旅店,25.05433167543693,121.52626046910882
甄美精品旅店,25.05433167543693,121.52626046910882
柜富賓王旅店-台北館 Giant Rich King Plaza Hotel,25.054068541551057,121.51304304599762
柜富賓王旅店-台北館 Giant Rich King Plaza Hotel,25.054068541551057,121.51304304599762
柜富賓王旅店-台北館 Giant Rich King Plaza Hotel,25.054068541551057,121.51304304599762
欣欣旅店,25.047055833885004,121.50586545467377
欣欣旅店,25.047055833885004,121.50586545467377
芝山璞旅,25.1023404533924,121.52163594725609
芝山璞旅,25.1023404533924,121.52163594725609
芝山璞旅,25.1023404533924,121.52163594725609
芝山璞旅,25.1023404533924,121.52163594725609
台北亞都麗緻大飯店,25.062737890230387,121.52990877628326
台北亞都麗緻大飯店,25.062737890230387,121.52990877628326
台北亞都麗緻大飯店,25.062737890230387,121.52990877628326
台北亞都麗緻大飯店,25.062737890230387,121.52990877628326
台北亞都麗緻大飯店,25.062737890230387,121.52990877628326
台北亞都麗緻大飯店,25.062737890230387,121.52990877628326
台北亞都麗緻大飯店,25.062737890230387,121.52990877628326
台北亞都麗緻大飯店,25.062737890230387,121.52990877628326
台北亞都麗緻大飯店,25.062737890230387,121.52990877628326
台北亞都麗緻大飯店,25.062737890230387,121.52990877628326
台北亞都麗緻大飯店,25.062737890230387,121.52990877628326
台北亞都麗緻大飯店,25.062737890230387,121.52990877628326
台北亞都麗緻大飯店,25.062737890230387,121.52990877628326
台北亞都麗緻大飯店,25.062737890230387,121.52990877628326
西門町古奈堡旅店,25.043172267109387,121.50680311018732
金弘旅店,25.053912459678536,121.51299830136644
金弘旅店,25.053912459678536,121.51299830136644
金弘旅店,25.053912459678536,121.51299830136644
金弘旅店,25.053912459678536,121.51299830136644
金弘旅店,25.053912459678536,121.51299830136644
新凱商務飯店,25.0665071,121.52737430000002
新凱商務飯店,25.0665071,121.52737430000002
Oani,25.0419599,121.5090261
Oani,25.0419599,121.5090261
大地酒店,25.134659,121.50719700000002
大地酒店,25.134659,121.50719700000002
大地酒店,25.134659,121.50719700000002
大地酒店,25.134659,121.50719700000002
大地酒店,25.134659,121.50719700000002
大地酒店,25.134659,121.50719700000002
大地酒店,25.134659,121.50719700000002
大地酒店,25.134659,121.50719700000002
大地酒店,25.134659,121.50719700000002
大地酒店,25.134659,121.50719700000002
艾特文旅西門町,25.045428157392504,121.5036667138338
艾特文旅西門町,25.045428157392504,121.5036667138338
約克設計旅店,25.044981,121.51617399999998
約克設計旅店,25.044981,121.51617399999998
約克設計旅店,25.044981,121.51617399999998
約克設計旅店,25.044981,121.51617399999998
承攜行旅台北重慶館,25.051951576049543,121.51383697986594
承攜行旅台北重慶館,25.051951576049543,121.51383697986594
承攜行旅台北重慶館,25.051951576049543,121.51383697986594
承攜行旅台北重慶館,25.051951576049543,121.51383697986594
承攜行旅台北重慶館,25.051951576049543,121.51383697986594
承攜行旅台北重慶館,25.051951576049543,121.51383697986594
承攜行旅台北重慶館,25.051951576049543,121.51383697986594
承攜行旅台北重慶館,25.051951576049543,121.51383697986594
承攜行旅台北重慶館,25.051951576049543,121.51383697986594
OwlStay 故事所 夾腳拖的家花園,25.0505395,121.518145
OwlStay 故事所 夾腳拖的家花園,25.0505395,121.518145
OwlStay 故事所 夾腳拖的家花園,25.0505395,121.518145
OwlStay 故事所 夾腳拖的家花園,25.0505395,121.518145
南陽街壹號旅店,25.0457437,121.51618209999992
雀客旅館台北南京,25.0518058,121.53765499999996
雀客旅館台北南京,25.0518058,121.53765499999996
雀客旅館台北南京,25.0518058,121.53765499999996
雀客旅館台北南京,25.0518058,121.53765499999996
柯達大飯店台北一店,25.05276440276996,121.52333527116387
豪爵大飯店-台北館,25.06521612269176,121.53174877166748
豪爵大飯店-台北館,25.06521612269176,121.53174877166748
豪爵大飯店-台北館,25.06521612269176,121.53174877166748
豪爵大飯店-台北館,25.06521612269176,121.53174877166748
城市商旅- 南東館,25.0514795,121.56994039999996
城市商旅- 南東館,25.0514795,121.56994039999996
城市商旅- 南東館,25.0514795,121.56994039999996
城市商旅- 南東館,25.0514795,121.56994039999996
城市商旅- 南東館,25.0514795,121.56994039999996
城市商旅- 南東館,25.0514795,121.56994039999996
