name,category,lat,lon,address
仁源湧有限公司,餐廳,25.045731,121.51378,臺北市中正區開封街1段14巷2號1樓
小壹有限公司,餐廳,25.081862,121.590162,臺北市內湖區湖濱里內湖路2段350號
觀山渡有限公司,餐廳,25.063583,121.520201,臺北市中山區撫順街27之1號1樓
南方游牧人有限公司,餐廳,25.044056,121.550004,臺北市大安區忠孝東路4段181巷40弄11號1樓
湘樂控股股份有限公司,餐廳,25.040517,121.550194,臺北市大安區敦化南路1段233巷15號
昭品國際股份有限公司,餐廳,25.024324,121.550506,臺北市大安區和平東路3段70之2號
馬克咖啡行銷股份有限公司,餐廳,25.065662,121.534944,臺北市中山區松江路431巷29號
晨映開有限公司,餐廳,25.042369,121.569381,臺北市信義區永吉路30巷157弄15號1樓
亨利方舟國際有限公司,餐廳,25.037065,121.581689,臺北市信義區福德街93號1樓
餓趣味餐飲有限公司,餐廳,25.047754,121.615296,臺北市南港區研究院路2段12巷5號1樓
木木秝有限公司,餐廳,25.042797,121.563393,臺北市信義區忠孝東路4段553巷16弄9號
柴契爾主廚有限公司,餐廳,25.066217,121.590714,臺北市內湖區成功路2段173號1樓
美慶控股有限公司,餐廳,25.044854,121.525932,臺北市中正區紹興北街31巷15弄4號1樓
阿快國際食品有限公司,餐廳,25.028776,121.56155,臺北市信義區吳興街156巷7弄2號1樓
金河洞有限公司,餐廳,25.043294,121.502446,臺北市萬華區成都路100之1號1樓
愉粵食品有限公司,餐廳,25.054846,121.524519,臺北市中山區長春路26號3樓
萊億庭餐飲股份有限公司,餐廳,25.050967,121.521451,臺北市中山區中山北路1段126巷12之2號
吉米飯有限公司,餐廳,25.029335,121.561693,臺北市信義區吳興街152號1樓
凱安餐飲事業有限公司,餐廳,25.042991,121.547489,臺北市大安區大安路1段51巷34號
鼎煌國際有限公司,餐廳,25.041678,121.551621,臺北市大安區忠孝東路4段197號8樓之5
廣泰鋒股份有限公司,餐廳,25.04841,121.541514,臺北市中山區長安東路2段169-15號12樓之1
